,40-year NPV rank,40-year NPV,Institution,State,Level,Predominant degree,Institution type,Share earning more than high school graduates 10-years after enrolling,Earnings-price return rank,Earnings-price return,Earnings-debt return rank,Earnings-debt return,Debt rank,Median debt,10-year earnings rank,Median 10-yr earnings,Net price rank,Net price,Graduation rate rank,Graduation rate,7-year repayment rate
1,2915,"$733,000",Alaska Career College,AK,2-year,Certificate,Private for-profit,51%,2917,96%,1447,299%,2751,"$7,984",2909,"$31,891",2096,"$16,278",761,74%,47%
2,1270,"$973,000",Alaska Pacific University,AK,4-year,Bachelor's,Private nonprofit,74%,2098,154%,1764,267%,1456,"$12,892",1018,"$47,267",1680,"$18,602",2365,50%,64%
3,1162,"$993,000",Alaska Vocational Technical Center,AK,Less than 2-year,Certificate,Public,56%,998,308%,340,558%,3579,"$5,500",2314,"$36,167",3400,"$8,869",62,93%,66%
4,1035,"$1,021,000",University of Alaska Anchorage,AK,4-year,Bachelor's,Public,71%,1211,269%,1187,335%,1812,"$11,000",974,"$47,891",2719,"$12,995",3539,29%,68%
5,1446,"$941,000",University of Alaska Fairbanks,AK,4-year,Bachelor's,Public,65%,923,323%,1461,298%,1812,"$11,000",1357,"$43,728",3132,"$10,333",3312,33%,63%
6,1894,"$874,000",University of Alaska Southeast,AK,4-year,Certificate,Public,65%,1344,246%,1455,298%,1910,"$10,223",1706,"$40,727",2903,"$11,787",3431,31%,64%
7,2764,"$754,000",Alabama A & M University,AL,4-year,Bachelor's,Public,60%,2231,142%,3606,138%,1025,"$15,250",2290,"$36,339",2350,"$14,990",3585,28%,38%
8,3328,"$664,000",Alabama State University,AL,4-year,Bachelor's,Public,52%,2329,135%,3962,83%,685,"$17,500",2886,"$32,084",2621,"$13,650",3414,31%,32%
9,1729,"$898,000",Amridge University,AL,4-year,Associate's,Private nonprofit,63%,881,335%,2042,245%,1843,"$10,984",2046,"$37,895",3427,"$8,705",3604,28%,43%
10,504,"$1,184,000",Auburn University,AL,4-year,Bachelor's,Public,82%,2314,136%,2313,225%,685,"$17,500",419,"$56,933",782,"$24,104",488,79%,80%
11,1885,"$876,000",Auburn University at Montgomery,AL,4-year,Bachelor's,Public,67%,1696,198%,1979,247%,1612,"$12,000",1606,"$41,679",2552,"$13,987",3270,34%,53%
12,2996,"$719,000",Bevill State Community College,AL,2-year,Certificate,Public,49%,1160,276%,NA,NA,NA,NA,3090,"$30,413",3548,"$8,090",3778,25%,NA
13,923,"$1,051,000",Birmingham-Southern College,AL,4-year,Bachelor's,Private nonprofit,75%,2410,130%,2446,217%,894,"$16,000",759,"$50,775",1071,"$22,107",1102,69%,78%
14,3549,"$626,000",Bishop State Community College,AL,2-year,Certificate,Public,40%,559,432%,NA,NA,NA,NA,3534,"$26,480",4101,"$4,976",3797,25%,NA
15,3924,"$560,000",Blue Cliff Career College,AL,Less than 2-year,Certificate,Private for-profit,31%,3312,70%,2963,186%,2846,"$7,695",4066,"$21,995",2730,"$12,953",2978,39%,30%
16,2684,"$764,000",Central Alabama Community College,AL,2-year,Associate's,Public,52%,424,502%,841,400%,3202,"$6,500",2833,"$32,503",4033,"$5,402",3879,23%,42%
17,2777,"$752,000",Chattahoochee Valley Community College,AL,2-year,Associate's,Public,50%,85,1145%,943,378%,3195,"$6,543",2981,"$31,254",4357,"$2,510",4041,20%,40%
18,2793,"$749,000",Coastal Alabama Community College,AL,2-year,Associate's,Public,52%,1338,247%,541,484%,3579,"$5,500",2880,"$32,139",3324,"$9,263",4185,15%,47%
19,92,"$1,605,000",Columbia Southern University,AL,4-year,Bachelor's,Private for-profit,89%,273,618%,676,446%,1357,"$13,625",103,"$74,398",3127,"$10,368",3899,23%,60%
20,1743,"$896,000",Enterprise State Community College,AL,2-year,Certificate,Public,59%,124,919%,401,529%,3499,"$5,928",2127,"$37,260",4259,"$3,658",4044,20%,52%
21,2488,"$796,000",Faulkner University,AL,4-year,Bachelor's,Private nonprofit,64%,3004,90%,3129,177%,1226,"$14,250",1849,"$39,437",1285,"$20,715",3491,30%,49%
22,3728,"$595,000",Fortis College,AL,Less than 2-year,Certificate,Private for-profit,28%,3936,30%,3524,145%,2383,"$9,396",3978,"$23,014",1842,"$17,636",2032,56%,26%
23,3285,"$668,000",Fortis College-Dothan,AL,Less than 2-year,Certificate,Private for-profit,40%,4190,8%,2861,192%,2433,"$9,125",3511,"$26,620",717,"$24,693",2271,52%,30%
24,3245,"$678,000",Fortis College-Foley,AL,Less than 2-year,Certificate,Private for-profit,40%,3188,78%,2861,192%,2433,"$9,125",3511,"$26,620",2352,"$14,969",1833,58%,30%
25,3736,"$593,000",Fortis College-Montgomery,AL,Less than 2-year,Certificate,Private for-profit,28%,4099,15%,3524,145%,2383,"$9,396",3978,"$23,014",1424,"$19,985",1955,57%,26%
26,3383,"$656,000",Fortis Institute-Birmingham,AL,2-year,Certificate,Private for-profit,46%,3577,52%,2595,207%,2001,"$9,500",3222,"$29,182",1562,"$19,188",1998,56%,34%
27,3170,"$692,000",Gadsden State Community College,AL,2-year,Associate's,Public,46%,337,554%,NA,NA,NA,NA,3242,"$28,950",4189,"$4,427",3871,23%,NA
28,3090,"$706,000",George C Wallace Community College-Dothan,AL,2-year,Certificate,Public,47%,46,1543%,NA,NA,NA,NA,3191,"$29,417",4388,"$1,790",3621,28%,NA
29,2149,"$842,000",George C Wallace State Community College-Hanceville,AL,2-year,Certificate,Public,58%,711,381%,1211,332%,2643,"$8,250",2399,"$35,632",3694,"$7,411",2694,44%,50%
30,3328,"$664,000",George C Wallace State Community College-Selma,AL,2-year,Associate's,Public,44%,287,608%,NA,NA,NA,NA,3389,"$27,770",4233,"$3,925",3511,30%,NA
31,3560,"$624,000",H Councill Trenholm State Community College,AL,2-year,Certificate,Public,40%,1097,288%,NA,NA,NA,NA,3619,"$26,057",3816,"$6,723",3803,24%,NA
32,3539,"$628,000",Herzing University-Birmingham,AL,4-year,Certificate,Private nonprofit,53%,4008,24%,3058,179%,1737,"$11,855",2731,"$33,093",494,"$26,680",2952,40%,42%
33,1517,"$930,000",Huntingdon College,AL,4-year,Bachelor's,Private nonprofit,77%,2686,111%,3342,159%,685,"$17,500",1191,"$45,389",1168,"$21,486",2578,46%,62%
34,3565,"$623,000",J. F. Drake State Community and Technical College,AL,2-year,Certificate,Public,43%,268,629%,NA,NA,NA,NA,3592,"$26,169",4263,"$3,589",4227,14%,NA
35,2301,"$822,000",Jacksonville State University,AL,4-year,Bachelor's,Public,65%,2104,153%,3300,162%,1066,"$15,000",1864,"$39,354",2243,"$15,559",2824,42%,50%
36,2095,"$849,000",Jefferson State Community College,AL,2-year,Associate's,Public,59%,1040,300%,134,677%,3898,"$4,648",2323,"$36,111",3374,"$9,018",4248,12%,52%
37,2451,"$801,000",John C Calhoun State Community College,AL,2-year,Certificate,Public,55%,448,491%,577,474%,3507,"$5,891",2641,"$33,834",3980,"$5,722",3808,24%,48%
38,3688,"$603,000",Judson College,AL,4-year,Bachelor's,Private nonprofit,47%,3221,76%,3948,88%,950,"$15,750",3174,"$29,569",1983,"$16,827",3180,35%,66%
39,3383,"$656,000",Lawson State Community College,AL,2-year,Certificate,Public,43%,1329,249%,NA,NA,NA,NA,3353,"$28,016",3561,"$8,039",4104,18%,NA
40,3196,"$688,000",Lurleen B Wallace Community College,AL,2-year,Associate's,Public,47%,1236,264%,NA,NA,NA,NA,3157,"$29,717",3535,"$8,165",3154,36%,NA
41,568,"$1,161,000",Marion Military Institute,AL,2-year,Associate's,Public,76%,827,348%,64,789%,3579,"$5,500",901,"$48,920",3031,"$10,924",3398,32%,50%
42,3560,"$624,000",Miles College,AL,4-year,Bachelor's,Private nonprofit,49%,2657,113%,3895,100%,1025,"$15,250",3073,"$30,470",2479,"$14,303",3792,25%,23%
43,2684,"$764,000",Northeast Alabama Community College,AL,2-year,Certificate,Public,51%,150,860%,239,607%,3913,"$4,500",2924,"$31,801",4287,"$3,314",2639,45%,51%
44,2946,"$729,000",Northwest-Shoals Community College,AL,2-year,Certificate,Public,50%,994,309%,604,467%,3579,"$5,500",2993,"$31,190",3647,"$7,634",3769,25%,47%
45,2865,"$739,000",Oakwood University,AL,4-year,Bachelor's,Private nonprofit,62%,3520,56%,3923,94%,342,"$19,500",2041,"$37,922",763,"$24,274",2411,49%,37%
46,3699,"$601,000",Reid State Technical College,AL,2-year,Certificate,Public,37%,196,742%,NA,NA,NA,NA,3791,"$24,403",4320,"$2,899",3108,37%,NA
